runtime,l1_error,l2_error,rel_error
9.566743516921997070e+01,9.593559572806772268e-03,1.783149321053611308e-04,4.757445925859272312e-02
9.689558053016662598e+01,8.997704948022810026e-03,1.505799218385548679e-04,6.212746873815132298e-02
9.832637810707092285e+01,9.372873406145206324e-03,2.014703459401135039e-04,4.000962777550599175e-02
9.865475082397460938e+01,1.025875407488133564e-02,2.018679086440537944e-04,4.890122102443458796e-02
9.444972801208496094e+01,1.035867861367949054e-02,2.119333233277562569e-04,6.118227866670646747e-02
9.333578538894653320e+01,9.322064651350495806e-03,1.773625962189195318e-04,5.520251939499454946e-02
9.396948885917663574e+01,9.309971690560175234e-03,1.700439817586085842e-04,4.232182227057154633e-02
9.192488026618957520e+01,9.559371683226174088e-03,1.604332002317138052e-04,4.832011164553610266e-02
9.396326994895935059e+01,9.069575918095562975e-03,1.724782262628379989e-04,3.662354547921080339e-02
9.100622844696044922e+01,1.025298055084736606e-02,1.880064236486597479e-04,4.205649723569316462e-02
