runtime,l1_error,l2_error,rel_error
1.396298270225524902e+02,1.316011630877755682e-02,2.512065591147912154e-04,3.832637769572863617e-02
1.463920702934265137e+02,1.310394738146510030e-02,2.411271794494315485e-04,4.346487455262253163e-02
1.475983288288116455e+02,1.353379949918352525e-02,2.583164310513485031e-04,3.904050191534310515e-02
1.453310651779174805e+02,1.332779427349909361e-02,2.443892132499053313e-04,4.291528334082455459e-02
1.396499228477478027e+02,1.573246133804663202e-02,5.721217899455588148e-04,4.019116223795034248e-02
1.420279250144958496e+02,1.328490122624168684e-02,2.460391395773138794e-04,4.239867447444259363e-02
1.484013164043426514e+02,1.165153405401691232e-02,2.061186892569540638e-04,3.396226759625856073e-02
1.508289144039154053e+02,1.320351415261529493e-02,2.449811350766213473e-04,4.280505666422779881e-02
1.395923666954040527e+02,1.257663282070586169e-02,2.236899451238063988e-04,4.086793368233822971e-02
1.449425973892211914e+02,1.273716313124045006e-02,2.309741136066928479e-04,4.003862501245809141e-02
