runtime,l1_error,l2_error,rel_error
2.488450930118560791e+02,2.702765509741390359e-03,9.021981222655875443e-06,3.421617655613039613e-03
2.446943590641021729e+02,2.652242670942348522e-03,1.136949074808929342e-05,3.335135944416790354e-03
2.485582387447357178e+02,1.717688027674388806e-03,5.687700404970106800e-06,2.086579260951132095e-03
2.419089541435241699e+02,2.501405194381215499e-03,8.014832096581487559e-06,3.201384077877184996e-03
2.411617336273193359e+02,2.696032090267069976e-03,1.172359507231285648e-05,3.313207126323269424e-03
2.370949456691741943e+02,1.673280899738875931e-03,6.243658535440123480e-06,2.160265052076051993e-03
2.380878870487213135e+02,1.731828450418119178e-03,6.690213181739843657e-06,1.755003819239300518e-03
2.391951262950897217e+02,2.313256922408799595e-03,9.146114576585237849e-06,2.853028665516418958e-03
2.292841503620147705e+02,1.997847556916566760e-03,7.746259891161500532e-06,2.376416972569888025e-03
2.367408456802368164e+02,2.141814920478091015e-03,7.281720245822124832e-06,2.819268707887747760e-03
