runtime,l1_error,l2_error,rel_error
4.914149339199066162e+02,4.808807955946606608e-03,4.074298174413876016e-05,1.384053350752561251e-01
4.909486410617828369e+02,5.422523535612288302e-03,4.808574057575069199e-05,1.780832496589575820e-01
4.916575887203216553e+02,4.173107712755508812e-03,3.549693853303325926e-05,1.201665601994125199e-01
4.911298122406005859e+02,4.068480390331223259e-03,2.547475164610560696e-05,9.132537748318926563e-02
4.917681226730346680e+02,4.338038478953826910e-03,3.721079841040676251e-05,8.822743747446254448e-02
4.917091410160064697e+02,4.212999226756573845e-03,3.099117153480596045e-05,1.317482033481464643e-01
4.915902824401855469e+02,2.896819862883971003e-03,1.161027833172462218e-05,1.087659857645012079e-01
4.921563272476196289e+02,4.654769935268958207e-03,4.939847877665083626e-05,2.406255772642590662e-01
4.914413378238677979e+02,4.831255386893652977e-03,4.636775896946209867e-05,1.122726784221234897e-01
4.912886140346527100e+02,5.419554071757911283e-03,4.338263148508773068e-05,1.380313937438541749e-01
