runtime,l1_error,l2_error,rel_error
7.253869471549987793e+02,6.684654092013084595e-03,6.342866682035653062e-05,4.232434929066253987e-02
7.246030144691467285e+02,6.626562937467597378e-03,5.457373015395937599e-05,4.259902821462830530e-02
7.204650793075561523e+02,1.045265309773289175e+01,1.108238512021350175e+02,9.766652313105974770e+01
7.202702755928039551e+02,1.090697272740208135e+01,1.207622666193820464e+02,1.038563650609976179e+02
7.210533292293548584e+02,1.109597947560154374e+01,1.243735762757684711e+02,1.018465996557846438e+02
7.257422327995300293e+02,9.429648635083049193e-03,1.549575680884423634e-04,1.578826824564394660e-01
7.364945194721221924e+02,1.518247663937412639e+01,2.313574731946228269e+02,1.228028588788217945e+02
7.376782376766204834e+02,5.590952870159098149e-03,5.224692344015820352e-05,3.142101000565545449e-02
7.350584044456481934e+02,1.377154608212314990e+01,1.913586174435401972e+02,1.301993460107750877e+02
7.381563575267791748e+02,6.526067135586593147e-03,6.016939333129177141e-05,6.646646700722884382e-02
