runtime,l1_error,l2_error,rel_error
1.261708016395568848e+02,3.762884182089442243e-03,1.702496655450577614e-05,5.705774181448938602e-03
1.264676370620727539e+02,3.547985070921215543e-03,1.866770837239983035e-05,5.343244903271300236e-03
1.293172578811645508e+02,3.842207001423939353e-03,2.461144983058018292e-05,6.327384858675174500e-03
1.256369512081146240e+02,3.597992028991910812e-03,1.886279656830447139e-05,6.139821397685775103e-03
1.244741744995117188e+02,4.159944959092919288e-03,2.167613406543153373e-05,6.524240731767399007e-03
1.273435735702514648e+02,5.190644085337930633e-03,4.221552342606280935e-05,8.992728678907265655e-03
1.253896036148071289e+02,4.025380886090440882e-03,2.309033220422843818e-05,6.398530828811500697e-03
1.241902740001678467e+02,4.625990506866587727e-03,3.056981704001735309e-05,7.503033987175018044e-03
1.241554930210113525e+02,3.795192431202546509e-03,1.938539789760504689e-05,6.204291403990257713e-03
1.241850490570068359e+02,3.700210922747056933e-03,1.704704264439566572e-05,5.225083640921925933e-03
