runtime,l1_error,l2_error,rel_error
2.438499481678009033e+02,9.304097425840750571e-03,1.251575075678790108e-04,2.021333701632047342e-01
2.395153772830963135e+02,1.938721701445614938e-03,5.084072506668382854e-06,1.329342307623328223e-01
2.454533295631408691e+02,7.038642876437553944e-03,8.226672239272426774e-05,6.151196510309477755e-02
2.375009989738464355e+02,9.878139149970764296e-03,1.774524931148025255e-04,8.638567869841423663e-02
2.363229131698608398e+02,8.323628093832257518e-03,9.435597183362214892e-05,4.293677611354780321e-01
2.377813975811004639e+02,1.211702999536675915e-02,2.403240386852621452e-04,2.947800777238949732e-01
2.443564958572387695e+02,6.468069542716220824e-03,7.165629700904561949e-05,3.671489048057046123e-01
2.358804099559783936e+02,6.720488641640843912e-03,6.442627080627059261e-05,1.145673592464528101e-01
2.395168805122375488e+02,9.401899413925588270e-03,1.259171463324675131e-04,2.971317735557794659e-01
2.465487868785858154e+02,1.994019623831457325e-02,5.861592480729820205e-04,4.080991115282535109e-01
