runtime,l1_error,l2_error,rel_error
2.504522409439086914e+02,1.649087309930013026e-02,3.195296832883644028e-04,2.467757842584121508e-02
2.461966516971588135e+02,1.360859786110673111e-02,2.968441951878585984e-04,1.637690661685829718e-02
2.328706994056701660e+02,1.064624711963818755e-02,1.283475081063603542e-04,1.561159478530828489e-02
2.525343663692474365e+02,1.070186615082906016e-02,1.615549762118780497e-04,1.261067661335775816e-02
2.413631956577301025e+02,2.049601197335408631e-02,5.168474993248337252e-04,2.478493563093781341e-02
2.449969038963317871e+02,1.079808116051839129e-02,1.892446044183396302e-04,1.111580931755214857e-02
2.408190793991088867e+02,8.160009566164399403e-03,9.397147551082361339e-05,9.135389766274844628e-03
2.448000531196594238e+02,6.775735452863856922e-02,5.336619578494385986e-03,7.745214598759403435e-02
2.470573105812072754e+02,1.388560071680234285e-02,2.893441848816966219e-04,1.993588738429056748e-02
2.354104764461517334e+02,3.251933932397053917e-02,1.204327996794654024e-03,5.232804931223495465e-02
