x, branch
-2.213594436645507812e+01,-1.003211975097656250e+00
-1.721684646606445312e+01,-9.991082549095153809e-01
-1.229774665832519531e+01,-9.942706823348999023e-01
-7.378647804260253906e+00,-9.733806252479553223e-01
-2.459548950195312500e+00,-8.041977286338806152e-01
2.459548950195312500e+00,-4.905392527580261230e-01
7.378647804260253906e+00,-1.680168509483337402e-01
1.229774665832519531e+01,-4.268051683902740479e-02
1.721684646606445312e+01,-8.884930051863193512e-03
2.213594436645507812e+01,-1.941958675161004066e-03
