x, true, terminal, branch, branch, dgm, bsde
-2.213594362117865799e+01,-9.995694429186754437e-01,-9.990889488055993972e-01,-9.994905591011047363e-01,-9.995891451835632324e-01,-9.988175630569458008e-01,-9.985156059265136719e-01
-2.168875284095282652e+01,-9.995040730441691057e-01,-9.989507038842890818e-01,-9.993888735771179199e-01,-9.994755983352661133e-01,-9.989489316940307617e-01,-9.985443353652954102e-01
-2.124156206072699504e+01,-9.994287839773077220e-01,-9.987915067475445774e-01,-9.992761611938476562e-01,-9.993478059768676758e-01,-9.990768432617187500e-01,-9.985820055007934570e-01
-2.079437128050116357e+01,-9.993420724373450748e-01,-9.986081901870571542e-01,-9.991503953933715820e-01,-9.992033839225769043e-01,-9.991997480392456055e-01,-9.986187219619750977e-01
-2.034718050027533209e+01,-9.992422079222353926e-01,-9.983971109302689495e-01,-9.990090131759643555e-01,-9.990391731262207031e-01,-9.993160963058471680e-01,-9.986451268196105957e-01
-1.989998972004950062e+01,-9.991271985616551055e-01,-9.981540789644225420e-01,-9.988497495651245117e-01,-9.988523721694946289e-01,-9.994240999221801758e-01,-9.986527562141418457e-01
-1.945279893982366914e+01,-9.989947519029626077e-01,-9.978742766561372601e-01,-9.986691474914550781e-01,-9.986397027969360352e-01,-9.995218515396118164e-01,-9.986330270767211914e-01
-1.900560815959783767e+01,-9.988422298993541171e-01,-9.975521662877855356e-01,-9.984639286994934082e-01,-9.983981847763061523e-01,-9.996064305305480957e-01,-9.985785484313964844e-01
-1.855841737937200620e+01,-9.986665972710713213e-01,-9.971813844773056434e-01,-9.982301592826843262e-01,-9.981244802474975586e-01,-9.996751546859741211e-01,-9.984811544418334961e-01
-1.811122659914617472e+01,-9.984643623012235958e-01,-9.967546217872327308e-01,-9.979639053344726562e-01,-9.978150129318237305e-01,-9.997247457504272461e-01,-9.983325004577636719e-01
-1.766403581892034325e+01,-9.982315090072286790e-01,-9.962634856660349536e-01,-9.976603388786315918e-01,-9.974662661552429199e-01,-9.997514486312866211e-01,-9.981240034103393555e-01
-1.721684503869451177e+01,-9.979634194970334882e-01,-9.956983447069071014e-01,-9.973140954971313477e-01,-9.970743060111999512e-01,-9.997506141662597656e-01,-9.978464245796203613e-01
-1.676965425846868030e+01,-9.976547851766541797e-01,-9.950481520656082601e-01,-9.969192743301391602e-01,-9.966346621513366699e-01,-9.997173547744750977e-01,-9.974895715713500977e-01
-1.632246347824284882e+01,-9.972995053234231522e-01,-9.943002457633030033e-01,-9.964696168899536133e-01,-9.961428642272949219e-01,-9.996455907821655273e-01,-9.970439672470092773e-01
-1.587527269801701735e+01,-9.968905713799904866e-01,-9.934401235314711531e-01,-9.959568977355957031e-01,-9.955933690071105957e-01,-9.995288848876953125e-01,-9.965017437934875488e-01
-1.542808191779118587e+01,-9.964199351614075884e-01,-9.924511898593137982e-01,-9.953733682632446289e-01,-9.949798583984375000e-01,-9.993593096733093262e-01,-9.958556294441223145e-01
-1.498089113756535440e+01,-9.958783590073767567e-01,-9.913144730138245819e-01,-9.947090148925781250e-01,-9.942952394485473633e-01,-9.991277456283569336e-01,-9.951022267341613770e-01
-1.453370035733952292e+01,-9.952552457625998272e-01,-9.900083100637919742e-01,-9.939535856246948242e-01,-9.935305714607238770e-01,-9.988244771957397461e-01,-9.942413568496704102e-01
-1.408650957711369145e+01,-9.945384463423203592e-01,-9.885079984097712158e-01,-9.930947422981262207e-01,-9.926759600639343262e-01,-9.984374046325683594e-01,-9.932754635810852051e-01
-1.363931879688785997e+01,-9.937140425547277278e-01,-9.867854130770994381e-01,-9.921190142631530762e-01,-9.917193651199340820e-01,-9.979532361030578613e-01,-9.922084808349609375e-01
-1.319212801666202850e+01,-9.927661028301379975e-01,-9.848085901619929583e-01,-9.910105466842651367e-01,-9.906468391418457031e-01,-9.973567128181457520e-01,-9.910429716110229492e-01
-1.274493723643619703e+01,-9.916764085801113016e-01,-9.825412784471478922e-01,-9.897522926330566406e-01,-9.894417524337768555e-01,-9.966300725936889648e-01,-9.897764325141906738e-01
