x, true, terminal, branch, branch, bsde
-7.000000000000000000e+01,-9.995694429186754437e-01,-9.990889488055993972e-01,-9.986001849174499512e-01,-9.990786314010620117e-01,-9.985402822494506836e-01
-6.858585858585858830e+01,-9.995040730441691057e-01,-9.989507038842890818e-01,-9.984680414199829102e-01,-9.989464879035949707e-01,-9.984595179557800293e-01
-6.717171717171717660e+01,-9.994287839773077220e-01,-9.987915067475445774e-01,-9.983406066894531250e-01,-9.988076090812683105e-01,-9.983807802200317383e-01
-6.575757575757575069e+01,-9.993420724373450748e-01,-9.986081901870571542e-01,-9.982191920280456543e-01,-9.986610412597656250e-01,-9.983040094375610352e-01
-6.434343434343433898e+01,-9.992422079222353926e-01,-9.983971109302689495e-01,-9.981044530868530273e-01,-9.985054731369018555e-01,-9.982267618179321289e-01
-6.292929292929292728e+01,-9.991271985616551055e-01,-9.981540789644225420e-01,-9.979974031448364258e-01,-9.983401298522949219e-01,-9.981467127799987793e-01
-6.151515151515151558e+01,-9.989947519029626077e-01,-9.978742766561372601e-01,-9.978984594345092773e-01,-9.981639981269836426e-01,-9.980591535568237305e-01
-6.010101010101010388e+01,-9.988422298993541171e-01,-9.975521662877855356e-01,-9.978083372116088867e-01,-9.979764819145202637e-01,-9.979585409164428711e-01
-5.868686868686868507e+01,-9.986665972710713213e-01,-9.971813844773056434e-01,-9.977275729179382324e-01,-9.977781176567077637e-01,-9.978378415107727051e-01
-5.727272727272727337e+01,-9.984643623012235958e-01,-9.967546217872327308e-01,-9.976559877395629883e-01,-9.975706338882446289e-01,-9.976879358291625977e-01
-5.585858585858585457e+01,-9.982315090072286790e-01,-9.962634856660349536e-01,-9.975935220718383789e-01,-9.973574876785278320e-01,-9.975005388259887695e-01
-5.444444444444444287e+01,-9.979634194970334882e-01,-9.956983447069071014e-01,-9.975395202636718750e-01,-9.971444010734558105e-01,-9.972653388977050781e-01
-5.303030303030303116e+01,-9.976547851766541797e-01,-9.950481520656082601e-01,-9.974924325942993164e-01,-9.969393610954284668e-01,-9.969713091850280762e-01
-5.161616161616161946e+01,-9.972995053234231522e-01,-9.943002457633030033e-01,-9.974504709243774414e-01,-9.967513084411621094e-01,-9.966077804565429688e-01
-5.020202020202020066e+01,-9.968905713799904866e-01,-9.934401235314711531e-01,-9.974107742309570312e-01,-9.965904951095581055e-01,-9.961640238761901855e-01
-4.878787878787878896e+01,-9.964199351614075884e-01,-9.924511898593137982e-01,-9.973694086074829102e-01,-9.964656829833984375e-01,-9.956289529800415039e-01
