x, true, terminal
-2.213594362117865799e+01,-9.995694429186754437e-01,-9.990889488055993972e-01
-2.168875284095282652e+01,-9.995040730441691057e-01,-9.989507038842890818e-01
-2.124156206072699504e+01,-9.994287839773077220e-01,-9.987915067475445774e-01
-2.079437128050116357e+01,-9.993420724373450748e-01,-9.986081901870571542e-01
-2.034718050027533209e+01,-9.992422079222353926e-01,-9.983971109302689495e-01
-1.989998972004950062e+01,-9.991271985616551055e-01,-9.981540789644225420e-01
-1.945279893982366914e+01,-9.989947519029626077e-01,-9.978742766561372601e-01
-1.900560815959783767e+01,-9.988422298993541171e-01,-9.975521662877855356e-01
-1.855841737937200620e+01,-9.986665972710713213e-01,-9.971813844773056434e-01
-1.811122659914617472e+01,-9.984643623012235958e-01,-9.967546217872327308e-01
-1.766403581892034325e+01,-9.982315090072286790e-01,-9.962634856660349536e-01
-1.721684503869451177e+01,-9.979634194970334882e-01,-9.956983447069071014e-01
-1.676965425846868030e+01,-9.976547851766541797e-01,-9.950481520656082601e-01
-1.632246347824284882e+01,-9.972995053234231522e-01,-9.943002457633030033e-01
-1.587527269801701735e+01,-9.968905713799904866e-01,-9.934401235314711531e-01
-1.542808191779118587e+01,-9.964199351614075884e-01,-9.924511898593137982e-01
-1.498089113756535440e+01,-9.958783590073767567e-01,-9.913144730138245819e-01
-1.453370035733952292e+01,-9.952552457625998272e-01,-9.900083100637919742e-01
-1.408650957711369145e+01,-9.945384463423203592e-01,-9.885079984097712158e-01
-1.363931879688785997e+01,-9.937140425547277278e-01,-9.867854130770994381e-01
-1.319212801666202850e+01,-9.927661028301379975e-01,-9.848085901619929583e-01
-1.274493723643619703e+01,-9.916764085801113016e-01,-9.825412784471478922e-01
-1.229774645621036555e+01,-9.904241491193128688e-01,-9.799424634621496377e-01
-1.185055567598453408e+01,-9.889855834829677228e-01,-9.769658713181146314e-01
-1.140336489575870260e+01,-9.873336681325308728e-01,-9.735594636786228939e-01
-1.095617411553287113e+01,-9.854376505492687954e-01,-9.696649404355518476e-01
-1.050898333530703965e+01,-9.832626301784518352e-01,-9.652172732300303704e-01
-1.006179255508120818e+01,-9.807690902375834074e-01,-9.601443010541104162e-01
-9.614601774855376703e+00,-9.779124066962692208e-01,-9.543664288698656684e-01
-9.167410994629545229e+00,-9.746423444505776246e-01,-9.477964814295410934e-01
-8.720220214403713754e+00,-9.709025555440996547e-01,-9.403397769808251594e-01
-8.273029434177882280e+00,-9.666301004261713681e-01,-9.318944986535737662e-01
-7.825838653952050805e+00,-9.617550208572679393e-01,-9.223524539165752767e-01
-7.378647873726219331e+00,-9.562000022835388524e-01,-9.116003227929415642e-01
-6.931457093500387856e+00,-9.498801742982829754e-01,-8.995215009861547983e-01
-6.484266313274556381e+00,-9.427031099772980038e-01,-8.859986413168794428e-01
-6.037075533048724907e+00,-9.345690978957785777e-01,-8.709169817721655882e-01
-5.589884752822893432e+00,-9.253717735395832200e-01,-8.541685164650849593e-01
-5.142693972597061958e+00,-9.149992080509599113e-01,-8.356570125831239704e-01
-4.695503192371230483e+00,-9.033355594992689142e-01,-8.153037990090655773e-01
-4.248312412145399009e+00,-8.902633920151420410e-01,-7.930541506528423490e-01
-3.801121631919567534e+00,-8.756667572479253092e-01,-7.688839712351154265e-01
-3.353930851693736059e+00,-8.594351062191103452e-01,-7.428063472356177810e-01
-2.906740071467904585e+00,-8.414680532665187451e-01,-7.148774250585993029e-01
-2.459549291242073110e+00,-8.216809438923076137e-01,-6.852009766653156531e-01
-2.012358511016241636e+00,-8.000110838086447185e-01,-6.539309937088768621e-01
-1.565167730790410161e+00,-7.764243703059212631e-01,-6.212717117703228098e-01
-1.117976950564578686e+00,-7.509219381102776314e-01,-5.874746295981817523e-01
-6.707861703387472119e-01,-7.235463060599579554e-01,-5.528323503326416644e-01
-2.235953901129157373e-01,-6.943864109770060411e-01,-5.176694067884356487e-01
2.235953901129157373e-01,-6.635808682824484439e-01,-4.823305932115643513e-01
6.707861703387472119e-01,-6.313188319118138159e-01,-4.471676496673582801e-01
1.117976950564578686e+00,-5.978379578630851343e-01,-4.125253704018182477e-01
1.565167730790410161e+00,-5.634192094334911083e-01,-3.787282882296771902e-01
2.012358511016241636e+00,-5.283785592571776935e-01,-3.460690062911231379e-01
2.459549291242073110e+00,-4.930560020517392728e-01,-3.147990233346843469e-01
2.906740071467904585e+00,-4.578026336943810115e-01,-2.851225749414006971e-01
3.353930851693736059e+00,-4.229668132462265917e-01,-2.571936527643822190e-01
3.801121631919567534e+00,-3.888805524172456174e-01,-2.311160287648845735e-01
4.248312412145399009e+00,-3.558472450135226062e-01,-2.069458493471576510e-01
4.695503192371230483e+00,-3.241316638635405312e-01,-1.846962009909344227e-01
5.142693972597061958e+00,-2.939528527760028043e-01,-1.643429874168760851e-01
5.589884752822893432e+00,-2.654801849962067362e-01,-1.458314835349150962e-01
6.037075533048724907e+00,-2.388325109557643544e-01,-1.290830182278343563e-01
6.484266313274556381e+00,-2.140800300550866342e-01,-1.140013586831206127e-01
6.931457093500387856e+00,-1.912483266229448309e-01,-1.004784990138451461e-01
7.378647873726219331e+00,-1.703239186438458286e-01,-8.839967720705843579e-02
7.825838653952050805e+00,-1.512606690680261545e-01,-7.764754608342477882e-02
8.273029434177882280e+00,-1.339864805743645193e-01,-6.810550134642617826e-02
8.720220214403713754e+00,-1.184098078619213457e-01,-5.966022301917484061e-02
9.167410994629545229e+00,-1.044256509707241487e-01,-5.220351857045890664e-02
9.614601774855376703e+00,-9.192081855904093990e-02,-4.563357113013438715e-02
1.006179255508120818e+01,-8.077835842402414368e-02,-3.985569894588963935e-02
1.050898333530703965e+01,-7.088113747993429747e-02,-3.478272676996962964e-02
1.095617411553287113e+01,-6.211461375311855271e-02,-3.033505956444815244e-02
1.140336489575870260e+01,-5.436888097791942043e-02,-2.644053632137705057e-02
1.185055567598453408e+01,-4.754008612079724250e-02,-2.303412868188542406e-02
1.229774645621036555e+01,-4.153132619455168761e-02,-2.005753653785036228e-02
1.274493723643619703e+01,-3.625312735995994684e-02,-1.745872155285210781e-02
1.319212801666202850e+01,-3.162360017338083917e-02,-1.519140983800704170e-02
1.363931879688785997e+01,-2.756835272186997088e-02,-1.321458692290050640e-02
1.408650957711369145e+01,-2.402023028680339012e-02,-1.149200159022878420e-02
1.453370035733952292e+01,-2.091893740338862662e-02,-9.991689936208025813e-03
1.498089113756535440e+01,-1.821058651156742814e-02,-8.685526986175418074e-03
1.542808191779118587e+01,-1.584720720843302288e-02,-7.548810140686257331e-03
1.587527269801701735e+01,-1.378624153308144473e-02,-6.559876468528791360e-03
1.632246347824284882e+01,-1.199004369491735167e-02,-5.699754236696996657e-03
1.676965425846868030e+01,-1.042539705487960378e-02,-4.951847934391684358e-03
1.721684503869451177e+01,-9.063056800920399336e-03,-4.301655293092898624e-03
1.766403581892034325e+01,-7.877323428053806254e-03,-3.736514333965046397e-03
1.811122659914617472e+01,-6.845649651242347034e-03,-3.245378212767269233e-03
1.855841737937200620e+01,-5.948281576806657700e-03,-2.818615522694412068e-03
1.900560815959783767e+01,-5.167933688558001837e-03,-2.447833712214519952e-03
1.945279893982366914e+01,-4.489496345947419087e-03,-2.125723343862739867e-03
1.989998972004950062e+01,-3.899773943161377598e-03,-1.845921035577402503e-03
2.034718050027533209e+01,-3.387251560201642864e-03,-1.602889069731050498e-03
2.079437128050116357e+01,-2.941887786613806011e-03,-1.391809812942901292e-03
2.124156206072699504e+01,-2.554931366929635850e-03,-1.208493252455478117e-03
2.168875284095282652e+01,-2.218759366903910735e-03,-1.049296115710862676e-03
2.213594362117865799e+01,-1.926734663327489550e-03,-9.110511944006582929e-04
