x, branch
0.000000000000000000e+00,-5.000000000000000000e-01
1.111111119389533997e-01,-5.412836074829101562e-01
2.222222238779067993e-01,-5.842307209968566895e-01
3.333333432674407959e-01,-6.200175881385803223e-01
4.444444477558135986e-01,-6.606597900390625000e-01
5.555555820465087891e-01,-6.942509412765502930e-01
6.666666865348815918e-01,-7.350689172744750977e-01
7.777777910232543945e-01,-7.587116956710815430e-01
8.888888955116271973e-01,-8.063439726829528809e-01
1.000000000000000000e+00,-6.309392452239990234e-01
