x, true, terminal
0.000000000000000000e+00,-5.000000000000000000e-01,-5.000000000000000000e-01
1.010101010101010187e-02,-5.037878063247659410e-01,-5.037878063247659410e-01
2.020202020202020374e-02,-5.075751779107759987e-01,-5.075751779107759987e-01
3.030303030303030387e-02,-5.113616802188368782e-01,-5.113616802188368782e-01
4.040404040404040747e-02,-5.151468791086855070e-01,-5.151468791086855070e-01
5.050505050505051108e-02,-5.189303410379687564e-01,-5.189303410379687564e-01
6.060606060606060774e-02,-5.227116332606391857e-01,-5.227116332606391857e-01
7.070707070707071829e-02,-5.264903240245764060e-01,-5.264903240245764060e-01
8.080808080808081495e-02,-5.302659827682415505e-01,-5.302659827682415505e-01
9.090909090909091161e-02,-5.340381803161751151e-01,-5.340381803161751151e-01
1.010101010101010222e-01,-5.378064890731510950e-01,-5.378064890731510950e-01
1.111111111111111188e-01,-5.415704832167999028e-01,-5.415704832167999028e-01
1.212121212121212155e-01,-5.453297388885200991e-01,-5.453297388885200991e-01
1.313131313131313260e-01,-5.490838343824953061e-01,-5.490838343824953061e-01
1.414141414141414366e-01,-5.528323503326416644e-01,-5.528323503326416644e-01
1.515151515151515194e-01,-5.565748698973106423e-01,-5.565748698973106423e-01
1.616161616161616299e-01,-5.603109789415781083e-01,-5.603109789415781083e-01
1.717171717171717404e-01,-5.640402662169529124e-01,-5.640402662169529124e-01
1.818181818181818232e-01,-5.677623235383435496e-01,-5.677623235383435496e-01
1.919191919191919338e-01,-5.714767459581248099e-01,-5.714767459581248099e-01
2.020202020202020443e-01,-5.751831319371524254e-01,-5.751831319371524254e-01
2.121212121212121271e-01,-5.788810835125768328e-01,-5.788810835125768328e-01
2.222222222222222376e-01,-5.825702064623147214e-01,-5.825702064623147214e-01
2.323232323232323482e-01,-5.862501104660383655e-01,-5.862501104660383655e-01
2.424242424242424310e-01,-5.899204092625539575e-01,-5.899204092625539575e-01
2.525252525252525415e-01,-5.935807208034399318e-01,-5.935807208034399318e-01
2.626262626262626521e-01,-5.972306674028253770e-01,-5.972306674028253770e-01
2.727272727272727626e-01,-6.008698758831952924e-01,-6.008698758831952924e-01
2.828282828282828731e-01,-6.044979777171120006e-01,-6.044979777171120006e-01
2.929292929292929282e-01,-6.081146091647517959e-01,-6.081146091647517959e-01
3.030303030303030387e-01,-6.117194114071613509e-01,-6.117194114071613509e-01
3.131313131313131493e-01,-6.153120306751420632e-01,-6.153120306751420632e-01
3.232323232323232598e-01,-6.188921183736815212e-01,-6.188921183736815212e-01
3.333333333333333703e-01,-6.224593312018545932e-01,-6.224593312018545932e-01
3.434343434343434809e-01,-6.260133312681233075e-01,-6.260133312681233075e-01
3.535353535353535914e-01,-6.295537862009739083e-01,-6.295537862009739083e-01
3.636363636363636465e-01,-6.330803692548325756e-01,-6.330803692548325756e-01
3.737373737373737570e-01,-6.365927594112102961e-01,-6.365927594112102961e-01
3.838383838383838675e-01,-6.400906414750342499e-01,-6.400906414750342499e-01
3.939393939393939781e-01,-6.435737061661268577e-01,-6.435737061661268577e-01
4.040404040404040886e-01,-6.470416502058041752e-01,-6.470416502058041752e-01
4.141414141414141992e-01,-6.504941763985682135e-01,-6.504941763985682135e-01
4.242424242424242542e-01,-6.539309937088768621e-01,-6.539309937088768621e-01
4.343434343434343647e-01,-6.573518173329802039e-01,-6.573518173329802039e-01
4.444444444444444753e-01,-6.607563687658172258e-01,-6.607563687658172258e-01
4.545454545454545858e-01,-6.641443758629772542e-01,-6.641443758629772542e-01
4.646464646464646964e-01,-6.675155728977310021e-01,-6.675155728977310021e-01
4.747474747474748069e-01,-6.708697006131458807e-01,-6.708697006131458807e-01
4.848484848484848619e-01,-6.742065062693060051e-01,-6.742065062693060051e-01
4.949494949494949725e-01,-6.775257436856599869e-01,-6.775257436856599869e-01
5.050505050505050830e-01,-6.808271732785295960e-01,-6.808271732785295960e-01
5.151515151515152491e-01,-6.841105620938140452e-01,-6.841105620938140452e-01
5.252525252525253041e-01,-6.873756838349314169e-01,-6.873756838349314169e-01
5.353535353535353591e-01,-6.906223188860455275e-01,-6.906223188860455275e-01
5.454545454545455252e-01,-6.938502543306269699e-01,-6.938502543306269699e-01
5.555555555555555802e-01,-6.970592839654072836e-01,-6.970592839654072836e-01
5.656565656565657463e-01,-7.002492083097859865e-01,-7.002492083097859865e-01
5.757575757575758013e-01,-7.034198346107551902e-01,-7.034198346107551902e-01
5.858585858585858563e-01,-7.065709768434129678e-01,-7.065709768434129678e-01
5.959595959595960224e-01,-7.097024557071369699e-01,-7.097024557071369699e-01
6.060606060606060774e-01,-7.128140986174973381e-01,-7.128140986174973381e-01
6.161616161616162435e-01,-7.159057396939882967e-01,-7.159057396939882967e-01
6.262626262626262985e-01,-7.189772197436635759e-01,-7.189772197436635759e-01
6.363636363636364646e-01,-7.220283862407638198e-01,-7.220283862407638198e-01
6.464646464646465196e-01,-7.250590933024239071e-01,-7.250590933024239071e-01
6.565656565656565746e-01,-7.280692016605563310e-01,-7.280692016605563310e-01
6.666666666666667407e-01,-7.310585786300048960e-01,-7.310585786300048960e-01
6.767676767676767957e-01,-7.340270980730664308e-01,-7.340270980730664308e-01
6.868686868686869618e-01,-7.369746403604826579e-01,-7.369746403604826579e-01
6.969696969696970168e-01,-7.399010923290019193e-01,-7.399010923290019193e-01
7.070707070707071829e-01,-7.428063472356177810e-01,-7.428063472356177810e-01
7.171717171717172379e-01,-7.456903047085873260e-01,-7.456903047085873260e-01
7.272727272727272929e-01,-7.485528706953373801e-01,-7.485528706953373801e-01
7.373737373737374590e-01,-7.513939574073671412e-01,-7.513939574073671412e-01
7.474747474747475140e-01,-7.542134832622553464e-01,-7.542134832622553464e-01
7.575757575757576801e-01,-7.570113728228820005e-01,-7.570113728228820005e-01
7.676767676767677351e-01,-7.597875567339757996e-01,-7.597875567339757996e-01
7.777777777777777901e-01,-7.625419716560974948e-01,-7.625419716560974948e-01
7.878787878787879562e-01,-7.652745601971697731e-01,-7.652745601971697731e-01
7.979797979797980112e-01,-7.679852708416667895e-01,-7.679852708416667895e-01
8.080808080808081773e-01,-7.706740578775719275e-01,-7.706740578775719275e-01
8.181818181818182323e-01,-7.733408813212160338e-01,-7.733408813212160338e-01
8.282828282828283983e-01,-7.759857068401082580e-01,-7.759857068401082580e-01
8.383838383838384534e-01,-7.786085056738645260e-01,-7.786085056738645260e-01
8.484848484848485084e-01,-7.812092545533486643e-01,-7.812092545533486643e-01
8.585858585858586745e-01,-7.837879356181307600e-01,-7.837879356181307600e-01
8.686868686868687295e-01,-7.863445363323708914e-01,-7.863445363323708914e-01
8.787878787878788955e-01,-7.888790493992363650e-01,-7.888790493992363650e-01
8.888888888888889506e-01,-7.913914726739550431e-01,-7.913914726739550431e-01
8.989898989898991166e-01,-7.938818090756105672e-01,-7.938818090756105672e-01
9.090909090909091717e-01,-7.963500664977807286e-01,-7.963500664977807286e-01
9.191919191919192267e-01,-7.987962577181213497e-01,-7.987962577181213497e-01
9.292929292929293927e-01,-8.012204003069931524e-01,-8.012204003069931524e-01
9.393939393939394478e-01,-8.036225165352295363e-01,-8.036225165352295363e-01
9.494949494949496138e-01,-8.060026332811440763e-01,-8.060026332811440763e-01
9.595959595959596689e-01,-8.083607819368661129e-01,-8.083607819368661129e-01
9.696969696969697239e-01,-8.106969983141019132e-01,-8.106969983141019132e-01
9.797979797979798899e-01,-8.130113225494077778e-01,-8.130113225494077778e-01
9.898989898989899450e-01,-8.153037990090655773e-01,-8.153037990090655773e-01
1.000000000000000000e+00,-8.175744761936436511e-01,-8.175744761936436511e-01
