x, true, terminal, branch, branch, bsde
-1.118033988749894831e+02,-9.968273171575148250e-01,-9.933071490757151567e-01,-9.990099072456359863e-01,-9.989296197891235352e-01,-7.117149353027343750e+00
-1.095447443522624269e+02,-9.964912828272178835e-01,-9.926010439502803706e-01,-9.989614486694335938e-01,-9.989670515060424805e-01,-7.128510475158691406e+00
-1.072860898295353564e+02,-9.961197960003560503e-01,-9.918210571437178213e-01,-9.989145398139953613e-01,-9.990024566650390625e-01,-7.116274833679199219e+00
-1.050274353068083002e+02,-9.957091472169959934e-01,-9.909595941910669392e-01,-9.988675117492675781e-01,-9.990331530570983887e-01,-7.092114448547363281e+00
-1.027687807840812440e+02,-9.952552457625998272e-01,-9.900083100637919742e-01,-9.988183975219726562e-01,-9.990563392639160156e-01,-7.058518409729003906e+00
-1.005101262613541877e+02,-9.947535820144595142e-01,-9.889580416625052273e-01,-9.987645149230957031e-01,-9.990685582160949707e-01,-7.020266532897949219e+00
-9.825147173862711725e+01,-9.941991864127008860e-01,-9.877987357393639423e-01,-9.987030029296875000e-01,-9.990655183792114258e-01,-6.987630367279052734e+00
-9.599281721590006100e+01,-9.935865848319396232e-01,-9.865193722991540959e-01,-9.986305236816406250e-01,-9.990428090095520020e-01,-6.968289375305175781e+00
-9.373416269317300475e+01,-9.929097501341899168e-01,-9.851078836367397340e-01,-9.985424280166625977e-01,-9.989947080612182617e-01,-6.959619045257568359e+00
-9.147550817044594851e+01,-9.921620496943004408e-01,-9.835510693065820931e-01,-9.984339475631713867e-01,-9.989153146743774414e-01,-6.954159736633300781e+00
-8.921685364771887805e+01,-9.913361887077705159e-01,-9.818345074928442884e-01,-9.982990026473999023e-01,-9.987968206405639648e-01,-6.949546813964843750e+00
-8.695819912499182180e+01,-9.904241491193128688e-01,-9.799424634621496377e-01,-9.981305003166198730e-01,-9.986310005187988281e-01,-6.946924686431884766e+00
-8.469954460226475135e+01,-9.894171240514576526e-01,-9.778577960418678439e-01,-9.979202151298522949e-01,-9.984086155891418457e-01,-6.946292877197265625e+00
-8.244089007953769510e+01,-9.883054476687440637e-01,-9.755618633816672824e-01,-9.976586103439331055e-01,-9.981188774108886719e-01,-6.946926116943359375e+00
-8.018223555681063885e+01,-9.870785204880169195e-01,-9.730344296319097808e-01,-9.973343610763549805e-01,-9.977491497993469238e-01,-6.948289394378662109e+00
-7.792358103408358261e+01,-9.857247302430320879e-01,-9.702535746159257624e-01,-9.969345927238464355e-01,-9.972863197326660156e-01,-6.950040340423583984e+00
-7.566492651135652636e+01,-9.842313685364921794e-01,-9.671956090900571956e-01,-9.964445829391479492e-01,-9.967147111892700195e-01,-6.951741218566894531e+00
