x, branch
-2.213594436645507812e+01,1.373404145240783691e+00
-1.721684646606445312e+01,1.379187703132629395e+00
-1.229774665832519531e+01,1.369628787040710449e+00
-7.378647804260253906e+00,1.320712208747863770e+00
-2.459548950195312500e+00,1.139491558074951172e+00
2.459548950195312500e+00,7.175632119178771973e-01
7.378647804260253906e+00,2.544383108615875244e-01
1.229774665832519531e+01,6.407217681407928467e-02
1.721684646606445312e+01,1.397237367928028107e-02
2.213594436645507812e+01,3.025031415745615959e-03
