x, true, terminal, branch, branch, dgm, bsde
-4.000000000000000000e+00,1.375277129282682420e+00,1.368226787042570836e+00,1.377715587615966797e+00,1.374963283538818359e+00,1.375462412834167480e+00,1.372785329818725586e+00
-3.919191919191919116e+00,1.374358183664719624e+00,1.366728460358594521e+00,1.376277804374694824e+00,1.374273657798767090e+00,1.374612569808959961e+00,1.371760368347167969e+00
-3.838383838383838231e+00,1.373363337498078929e+00,1.365107876048424540e+00,1.374858856201171875e+00,1.373561143875122070e+00,1.373671531677246094e+00,1.370736360549926758e+00
-3.757575757575757791e+00,1.372286451490330572e+00,1.363355401831824798e+00,1.373459577560424805e+00,1.372802019119262695e+00,1.372633695602416992e+00,1.369708895683288574e+00
-3.676767676767676907e+00,1.371120912204396358e+00,1.361460705410084682e+00,1.372078180313110352e+00,1.371971368789672852e+00,1.371493458747863770e+00,1.368665814399719238e+00
-3.595959595959596022e+00,1.369859599330465416e+00,1.359412713736624756e+00,1.370709061622619629e+00,1.371043562889099121e+00,1.370244622230529785e+00,1.367589712142944336e+00
-3.515151515151515138e+00,1.368494851385923861e+00,1.357199571730264953e+00,1.369343519210815430e+00,1.369993090629577637e+00,1.368880391120910645e+00,1.366456747055053711e+00
-3.434343434343434254e+00,1.367018429898335441e+00,1.354808600806182817e+00,1.367967963218688965e+00,1.368795394897460938e+00,1.367393612861633301e+00,1.365239143371582031e+00
-3.353535353535353369e+00,1.365421482158804212e+00,1.352226257684933541e+00,1.366564989089965820e+00,1.367427587509155273e+00,1.365777015686035156e+00,1.363904953002929688e+00
-3.272727272727272485e+00,1.363694502671626951e+00,1.349438094037108904e+00,1.365110158920288086e+00,1.365869283676147461e+00,1.364022016525268555e+00,1.362420439720153809e+00
-3.191919191919192045e+00,1.361827293471818523e+00,1.346428717630996363e+00,1.363574504852294922e+00,1.364102959632873535e+00,1.362120270729064941e+00,1.360752701759338379e+00
-3.111111111111111160e+00,1.359808923535756886e+00,1.343181755773591446e+00,1.361923694610595703e+00,1.362114071846008301e+00,1.360062003135681152e+00,1.358871459960937500e+00
-3.030303030303030276e+00,1.357627687572775521e+00,1.339679821971776486e+00,1.360117912292480469e+00,1.359890699386596680e+00,1.357836961746215820e+00,1.356750488281250000e+00
-2.949494949494949392e+00,1.355271064557965088e+00,1.335904486890431508e+00,1.358113408088684082e+00,1.357424378395080566e+00,1.355434417724609375e+00,1.354370832443237305e+00
-2.868686868686868507e+00,1.352725676449685777e+00,1.331836254847064804e+00,1.355863928794860840e+00,1.354707479476928711e+00,1.352842330932617188e+00,1.351717710494995117e+00
-2.787878787878788067e+00,1.349977247630195221e+00,1.327454547257098216e+00,1.353322744369506836e+00,1.351733088493347168e+00,1.350048065185546875e+00,1.348784923553466797e+00
-2.707070707070706739e+00,1.347010565715186514e+00,1.322737694628175698e+00,1.350445389747619629e+00,1.348493695259094238e+00,1.347037553787231445e+00,1.345568656921386719e+00
-2.626262626262626299e+00,1.343809444498498262e+00,1.317662938892752988e+00,1.347193002700805664e+00,1.344980478286743164e+00,1.343796133995056152e+00,1.342069387435913086e+00
-2.545454545454545414e+00,1.340356689932194589e+00,1.312206448061517428e+00,1.343536138534545898e+00,1.341184139251708984e+00,1.340307950973510742e+00,1.338288307189941406e+00
-2.464646464646464530e+00,1.336634070189659740e+00,1.306343345370158726e+00,1.339458823204040527e+00,1.337097406387329102e+00,1.336555361747741699e+00,1.334226608276367188e+00
-2.383838383838383645e+00,1.332622291019822658e+00,1.300047755271267924e+00,1.334960341453552246e+00,1.332717180252075195e+00,1.332520008087158203e+00,1.329883456230163574e+00
-2.303030303030302761e+00,1.328300977773111180e+00,1.293292868782422556e+00,1.330055832862854004e+00,1.328049421310424805e+00,1.328181862831115723e+00,1.325253248214721680e+00
-2.222222222222222321e+00,1.323648665662345181e+00,1.286051030829447495e+00,1.324772953987121582e+00,1.323110461235046387e+00,1.323519706726074219e+00,1.320323228836059570e+00
-2.141414141414140992e+00,1.318642800011704752e+00,1.278293852306943812e+00,1.319145441055297852e+00,1.317925214767456055e+00,1.318511009216308594e+00,1.315069913864135742e+00
