x, true, terminal, branch, branch, bsde
-1.212435565298214186e+02,1.385741506077832863e+00,1.385383102358883178e+00,1.384632706642150879e+00,1.385539412498474121e+00,nan
-1.187941917514411898e+02,1.385657566619691750e+00,1.385244789652282371e+00,1.384547233581542969e+00,1.385504722595214844e+00,nan
-1.163448269730609610e+02,1.385560889726187739e+00,1.385085502606303809e+00,1.384455442428588867e+00,1.385462403297424316e+00,nan
-1.138954621946807322e+02,1.385449544839503444e+00,1.384902066798514575e+00,1.384356617927551270e+00,1.385410785675048828e+00,nan
-1.114460974163004892e+02,1.385321309543620316e+00,1.384690829393425027e+00,1.384249806404113770e+00,1.385347723960876465e+00,nan
-1.089967326379202603e+02,1.385173625686013210e+00,1.384447587703679483e+00,1.384134531021118164e+00,1.385271072387695312e+00,nan
-1.065473678595400315e+02,1.385003548982448818e+00,1.384167507299997046e+00,1.384009599685668945e+00,1.385178327560424805e+00,nan
-1.040980030811598027e+02,1.384807691163124410e+00,1.383845028211819983e+00,1.383874058723449707e+00,1.385065793991088867e+00,nan
-1.016486383027795739e+02,1.384582153590915299e+00,1.383473757580792274e+00,1.383726477622985840e+00,1.384930253028869629e+00,nan
-9.919927352439934509e+01,1.384322451140674426e+00,1.383046346935226323e+00,1.383564949035644531e+00,1.384766817092895508e+00,nan
-9.674990874601911628e+01,1.384023424971756899e+00,1.382554352047691948e+00,1.383387923240661621e+00,1.384571790695190430e+00,nan
-9.430054396763887326e+01,1.383679142654065330e+00,1.381988073123276095e+00,1.383192062377929688e+00,1.384339094161987305e+00,nan
-9.185117918925865865e+01,1.383282783921335302e+00,1.381336372848575245e+00,1.382974505424499512e+00,1.384063482284545898e+00,nan
-8.940181441087841563e+01,1.382826510125514829e+00,1.380586469619792922e+00,1.382731080055236816e+00,1.383739113807678223e+00,nan
-8.695244963249818682e+01,1.382301315255495489e+00,1.379723703074815955e+00,1.382456779479980469e+00,1.383358955383300781e+00,nan
-8.450308485411795800e+01,1.381696856166702680e+00,1.378731268896666196e+00,1.382145166397094727e+00,1.382916808128356934e+00,nan
-8.205372007573772919e+01,1.381001259451939189e+00,1.377589919758656301e+00,1.381788730621337891e+00,1.382405519485473633e+00,nan
-7.960435529735750038e+01,1.380200902178813083e+00,1.376277629278270354e+00,1.381377696990966797e+00,1.381817579269409180e+00,nan
-7.715499051897727156e+01,1.379280163539731374e+00,1.374769215981641590e+00,1.380900621414184570e+00,1.381145477294921875e+00,nan
-7.470562574059704275e+01,1.378221144327473446e+00,1.373035924611993197e+00,1.380343198776245117e+00,1.380380153656005859e+00,nan
-7.225626096221679973e+01,1.377003351091083294e+00,1.371044962719368376e+00,1.379688024520874023e+00,1.379512548446655273e+00,nan
-6.980689618383658512e+01,1.375603341881335373e+00,1.368758991442045714e+00,1.378914594650268555e+00,1.378530979156494141e+00,nan
-6.735753140545634210e+01,1.373994330712938083e+00,1.366135570853453496e+00,1.377997994422912598e+00,1.377421975135803223e+00,nan
-6.490816662707611329e+01,1.372145748318038816e+00,1.363126562351195004e+00,1.376908302307128906e+00,1.376168251037597656e+00,nan
-6.245880184869588447e+01,1.370022757527479262e+00,1.359677493485804689e+00,1.375610351562500000e+00,1.374747037887573242e+00,nan
-6.000943707031565566e+01,1.367585722800297887e+00,1.355726894574604602e+00,1.374062061309814453e+00,1.373129606246948242e+00,nan
-5.756007229193542685e+01,1.364789635161932635e+00,1.351205621653939648e+00,1.372214794158935547e+00,1.371277570724487305e+00,nan
-5.511070751355519803e+01,1.361583496270163618e+00,1.346036187038355258e+00,1.370011806488037109e+00,1.369141101837158203e+00,nan
-5.266134273517495501e+01,1.357909668697939720e+00,1.340132127217029234e+00,1.367388248443603516e+00,1.366656064987182617e+00,nan
-5.021197795679472620e+01,1.353703204024823359e+00,1.333397448220392079e+00,1.364272117614746094e+00,1.363741159439086914e+00,nan
-4.776261317841449738e+01,1.348891166205643533e+00,1.325726201026305784e+00,1.360585451126098633e+00,1.360294938087463379e+00,nan
-4.531324840003426857e+01,1.343391975183013454e+00,1.317002253954250746e+00,1.356246471405029297e+00,1.356194257736206055e+00,nan
-4.286388362165403976e+01,1.337114805053621014e+00,1.307099344929968154e+00,1.351170539855957031e+00,1.351293206214904785e+00,nan
-4.041451884327381094e+01,1.329959082442471852e+00,1.295881513163877008e+00,1.345267653465270996e+00,1.345423102378845215e+00,nan
-3.796515406489358213e+01,1.321814144103966804e+00,1.283204025737485710e+00,1.338434576988220215e+00,1.338399529457092285e+00,nan
-3.551578928651335332e+01,1.312559127940989390e+00,1.268914927612764920e+00,1.330535769462585449e+00,1.330028772354125977e+00,nan
-3.306642450813312450e+01,1.302063188040447184e+00,1.252857350522235791e+00,1.321382164955139160e+00,1.320123672485351562e+00,nan
-3.061705972975288148e+01,1.290186140877232823e+00,1.234872712935684014e+00,1.310713648796081543e+00,1.308521509170532227e+00,nan
-2.816769495137265267e+01,1.276779664758815214e+00,1.214804924856287993e+00,1.298202753067016602e+00,1.295105695724487305e+00,nan
-2.571833017299242385e+01,1.261689185232761634e+00,1.192505672168176600e+00,1.283493041992187500e+00,1.279816746711730957e+00,nan
-2.326896539461219504e+01,1.244756581955003716e+00,1.167840790623741576e+00,1.266270279884338379e+00,1.262633800506591797e+00,nan
-2.081960061623196623e+01,1.225823842865251700e+00,1.140697645991004761e+00,1.246351122856140137e+00,1.243491411209106445e+00,nan
-1.837023583785173741e+01,1.204737764187279625e+00,1.110993314460858361e+00,1.223743081092834473e+00,1.222112774848937988e+00,nan
-1.592087105947150860e+01,1.181355744411118458e+00,1.078683211589201330e+00,1.198618292808532715e+00,1.197839498519897461e+00,nan
-1.347150628109126558e+01,1.155552642598265622e+00,1.043769661354198686e+00,1.171202063560485840e+00,1.169807195663452148e+00,nan
-1.102214150271103676e+01,1.127228564096971919e+00,1.006309749756005179e+00,1.141731739044189453e+00,1.138059258460998535e+00,nan
-8.572776724330807951e+00,1.096317302393503557e+00,9.664216971057513206e-01,1.110500454902648926e+00,1.105135560035705566e+00,nan
-6.123411945950579138e+00,1.062795012919088400e+00,9.242889406030607713e-01,1.074368715286254883e+00,1.074100375175476074e+00,nan
-3.674047167570350325e+00,1.026688539361416019e+00,8.801611724064041242e-01,1.015959739685058594e+00,1.038962364196777344e+00,nan
-1.224682389190121512e+00,9.880826792731101094e-01,8.343517463323416594e-01,9.859033823013305664e-01,9.922865033149719238e-01,nan
1.224682389190107301e+00,9.471255930803708090e-01,7.872311486788916568e-01,9.542630910873413086e-01,9.446204900741577148e-01,nan
