x, true, terminal
-2.213594362117865799e+01,1.385741506077832863e+00,1.385383102358883178e+00
-2.168875284095282652e+01,1.385657566619691750e+00,1.385244789652282371e+00
-2.124156206072699504e+01,1.385560889726187739e+00,1.385085502606303809e+00
-2.079437128050116357e+01,1.385449544839503444e+00,1.384902066798514575e+00
-2.034718050027533209e+01,1.385321309543620316e+00,1.384690829393425027e+00
-1.989998972004950062e+01,1.385173625686013210e+00,1.384447587703679483e+00
-1.945279893982366914e+01,1.385003548982448818e+00,1.384167507299997046e+00
-1.900560815959783767e+01,1.384807691163124410e+00,1.383845028211819983e+00
-1.855841737937200620e+01,1.384582153590915299e+00,1.383473757580792274e+00
-1.811122659914617472e+01,1.384322451140674426e+00,1.383046346935226323e+00
-1.766403581892034325e+01,1.384023424971756899e+00,1.382554352047691948e+00
-1.721684503869451177e+01,1.383679142654065330e+00,1.381988073123276095e+00
-1.676965425846868030e+01,1.383282783921335302e+00,1.381336372848575245e+00
-1.632246347824284882e+01,1.382826510125514829e+00,1.380586469619792922e+00
-1.587527269801701735e+01,1.382301315255495489e+00,1.379723703074815955e+00
-1.542808191779118587e+01,1.381696856166702680e+00,1.378731268896666196e+00
-1.498089113756535440e+01,1.381001259451939189e+00,1.377589919758656301e+00
-1.453370035733952292e+01,1.380200902178813083e+00,1.376277629278270354e+00
-1.408650957711369145e+01,1.379280163539731374e+00,1.374769215981641590e+00
-1.363931879688785997e+01,1.378221144327473446e+00,1.373035924611993197e+00
-1.319212801666202850e+01,1.377003351091083294e+00,1.371044962719368376e+00
-1.274493723643619703e+01,1.375603341881335373e+00,1.368758991442045714e+00
-1.229774645621036555e+01,1.373994330712938083e+00,1.366135570853453496e+00
-1.185055567598453408e+01,1.372145748318038816e+00,1.363126562351195004e+00
-1.140336489575870260e+01,1.370022757527479262e+00,1.359677493485804689e+00
-1.095617411553287113e+01,1.367585722800297887e+00,1.355726894574604602e+00
-1.050898333530703965e+01,1.364789635161932635e+00,1.351205621653939648e+00
-1.006179255508120818e+01,1.361583496270163618e+00,1.346036187038355258e+00
-9.614601774855376703e+00,1.357909668697939720e+00,1.340132127217029234e+00
-9.167410994629545229e+00,1.353703204024823359e+00,1.333397448220392079e+00
-8.720220214403713754e+00,1.348891166205643533e+00,1.325726201026305784e+00
-8.273029434177882280e+00,1.343391975183013454e+00,1.317002253954250746e+00
-7.825838653952050805e+00,1.337114805053621014e+00,1.307099344929968154e+00
-7.378647873726219331e+00,1.329959082442471852e+00,1.295881513163877008e+00
-6.931457093500387856e+00,1.321814144103966804e+00,1.283204025737485710e+00
-6.484266313274556381e+00,1.312559127940989390e+00,1.268914927612764920e+00
-6.037075533048724907e+00,1.302063188040446962e+00,1.252857350522235791e+00
-5.589884752822893432e+00,1.290186140877232823e+00,1.234872712935684014e+00
-5.142693972597061958e+00,1.276779664758815214e+00,1.214804924856287993e+00
-4.695503192371230483e+00,1.261689185232761634e+00,1.192505672168176600e+00
-4.248312412145399009e+00,1.244756581955003716e+00,1.167840790623741576e+00
-3.801121631919567534e+00,1.225823842865251700e+00,1.140697645991004761e+00
-3.353930851693736059e+00,1.204737764187279625e+00,1.110993314460858361e+00
-2.906740071467904585e+00,1.181355744411118236e+00,1.078683211589201330e+00
-2.459549291242073110e+00,1.155552642598265622e+00,1.043769661354198686e+00
-2.012358511016241636e+00,1.127228564096971919e+00,1.006309749756005179e+00
-1.565167730790410161e+00,1.096317302393503557e+00,9.664216971057513206e-01
-1.117976950564578686e+00,1.062795012919088400e+00,9.242889406030607713e-01
-6.707861703387472119e-01,1.026688539361416019e+00,8.801611724064037912e-01
-2.235953901129157373e-01,9.880826792731101094e-01,8.343517463323413264e-01
2.235953901129157373e-01,9.471255930803708090e-01,7.872311486788916568e-01
6.707861703387472119e-01,9.040315595839247820e-01,7.392166022180423068e-01
1.117976950564578686e+00,8.590803864000022827e-01,6.907582904471515350e-01
1.565167730790410161e+00,8.126130061772232072e-01,6.423230880614103633e-01
2.012358511016241636e+00,7.650231185068657735e-01,5.943769951676389773e-01
2.459549291242073110e+00,7.167451387184236022e-01,5.473676399668151449e-01
2.906740071467904585e+00,6.682391324310803515e-01,5.017082057147835839e-01
3.353930851693736059e+00,6.199737812361550970e-01,4.577639544411882255e-01
3.801121631919567534e+00,5.724086752644915732e-01,4.158421969181048672e-01
4.248312412145399009e+00,5.259773158453719955e-01,3.761861545413410779e-01
4.695503192371230483e+00,4.810721192335934981e-01,3.389727424935638500e-01
5.142693972597061958e+00,4.380324581346084489e-01,3.043139372679705135e-01
