x, true, terminal
0.000000000000000000e+00,8.109302162163287697e-01,8.109302162163287697e-01
1.010101010101010187e-02,8.142943600026442130e-01,8.142943600026442130e-01
2.020202020202020374e-02,8.176526833751007750e-01,8.176526833751007750e-01
3.030303030303030387e-02,8.210050352733055945e-01,8.210050352733055945e-01
4.040404040404040747e-02,8.243512657481927297e-01,8.243512657481927297e-01
5.050505050505051108e-02,8.276912259869370070e-01,8.276912259869370070e-01
6.060606060606060774e-02,8.310247683374341054e-01,8.310247683374341054e-01
7.070707070707071829e-02,8.343517463323416594e-01,8.343517463323416594e-01
8.080808080808081495e-02,8.376720147126681670e-01,8.376720147126681670e-01
9.090909090909091161e-02,8.409854294509105932e-01,8.409854294509105932e-01
1.010101010101010222e-01,8.442918477737260119e-01,8.442918477737260119e-01
1.111111111111111188e-01,8.475911281841349565e-01,8.475911281841349565e-01
1.212121212121212155e-01,8.508831304832509268e-01,8.508831304832509268e-01
1.313131313131313260e-01,8.541677157915268381e-01,8.541677157915268381e-01
1.414141414141414366e-01,8.574447465695138604e-01,8.574447465695138604e-01
1.515151515151515194e-01,8.607140866381295385e-01,8.607140866381295385e-01
1.616161616161616299e-01,8.639756011984269790e-01,8.639756011984269790e-01
1.717171717171717404e-01,8.672291568508626591e-01,8.672291568508626591e-01
1.818181818181818232e-01,8.704746216140539783e-01,8.704746216140539783e-01
1.919191919191919338e-01,8.737118649430317685e-01,8.737118649430317685e-01
2.020202020202020443e-01,8.769407577469698900e-01,8.769407577469698900e-01
2.121212121212121271e-01,8.801611724064037912e-01,8.801611724064037912e-01
2.222222222222222376e-01,8.833729827899209353e-01,8.833729827899209353e-01
2.323232323232323482e-01,8.865760642703285344e-01,8.865760642703285344e-01
2.424242424242424310e-01,8.897702937402942602e-01,8.897702937402942602e-01
2.525252525252525415e-01,8.929555496274552695e-01,8.929555496274552695e-01
2.626262626262626521e-01,8.961317119089963201e-01,8.961317119089963201e-01
2.727272727272727626e-01,8.992986621256899848e-01,8.992986621256899848e-01
2.828282828282828731e-01,9.024562833954075103e-01,9.024562833954075103e-01
2.929292929292929282e-01,9.056044604260859998e-01,9.056044604260859998e-01
3.030303030303030387e-01,9.087430795281623563e-01,9.087430795281623563e-01
3.131313131313131493e-01,9.118720286264663244e-01,9.118720286264663244e-01
3.232323232323232598e-01,9.149911972715745190e-01,9.149911972715745190e-01
3.333333333333333703e-01,9.181004766506273285e-01,9.181004766506273285e-01
3.434343434343434809e-01,9.211997595976033626e-01,9.211997595976033626e-01
3.535353535353535914e-01,9.242889406030607713e-01,9.242889406030607713e-01
3.636363636363636465e-01,9.273679158233342212e-01,9.273679158233342212e-01
3.737373737373737570e-01,9.304365830892018518e-01,9.304365830892018518e-01
3.838383838383838675e-01,9.334948419140114417e-01,9.334948419140114417e-01
3.939393939393939781e-01,9.365425935012750003e-01,9.365425935012750003e-01
4.040404040404040886e-01,9.395797407517332278e-01,9.395797407517332278e-01
4.141414141414141992e-01,9.426061882698866246e-01,9.426061882698866246e-01
4.242424242424242542e-01,9.456218423699990216e-01,9.456218423699990216e-01
4.343434343434343647e-01,9.486266110815797514e-01,9.486266110815797514e-01
4.444444444444444753e-01,9.516204041543385728e-01,9.516204041543385728e-01
4.545454545454545858e-01,9.546031330626263411e-01,9.546031330626263411e-01
4.646464646464646964e-01,9.575747110093533188e-01,9.575747110093533188e-01
4.747474747474748069e-01,9.605350529294029993e-01,9.605350529294029993e-01
4.848484848484848619e-01,9.634840754925286799e-01,9.634840754925286799e-01
4.949494949494949725e-01,9.664216971057513206e-01,9.664216971057513206e-01
5.050505050505050830e-01,9.693478379152554725e-01,9.693478379152554725e-01
5.151515151515152491e-01,9.722624198077856050e-01,9.722624198077856050e-01
5.252525252525253041e-01,9.751653664115548237e-01,9.751653664115548237e-01
